Month,Created_at
2001-6,2019-09-30 12:20:47.434351
2001-7,2019-09-30 12:20:53.376690
2001-8,2019-09-30 12:21:35.771947
2001-9,2019-09-30 12:21:42.188081
2001-10,2019-09-30 12:21:49.967716
2001-11,2019-09-30 12:21:57.662488
2001-12,2019-09-30 12:22:05.333952
2002-1,2019-09-30 12:22:11.386712
2002-2,2019-09-30 12:22:17.446091
2002-3,2019-09-30 12:22:23.584886
2002-4,2019-09-30 12:22:29.638795
2002-5,2019-09-30 12:22:35.691752
2002-6,2019-09-30 12:22:41.937682
2002-7,2019-09-30 12:22:48.171539
2002-8,2019-09-30 12:22:54.239176
2002-9,2019-09-30 12:23:00.418179
2002-10,2019-09-30 12:23:06.640285
2002-11,2019-09-30 12:23:12.718983
2002-12,2019-09-30 12:23:18.812098
2003-1,2019-09-30 12:23:24.881501
2003-2,2019-09-30 12:23:31.148159
2003-3,2019-09-30 12:23:37.279553
2003-4,2019-09-30 12:23:48.206152
2003-5,2019-09-30 12:23:54.343290
2003-6,2019-09-30 12:24:00.481242
2003-7,2019-09-30 12:24:06.586001
2003-8,2019-09-30 12:24:13.263319
2003-9,2019-09-30 12:24:19.383415
2003-10,2019-09-30 12:24:25.745862
2003-11,2019-09-30 12:24:32.065245
2003-12,2019-09-30 12:24:38.165508
2004-1,2019-09-30 12:24:44.358485
2004-2,2019-09-30 12:24:50.535649
2004-3,2019-09-30 12:24:56.709313
2004-4,2019-09-30 12:25:03.059540
2004-5,2019-09-30 12:25:09.210250
2004-6,2019-09-30 12:25:15.380698
2004-7,2019-09-30 12:25:21.602735
2004-8,2019-09-30 12:25:27.750046
2004-9,2019-09-30 12:25:33.900267
2004-10,2019-09-30 12:25:40.011573
2004-11,2019-09-30 12:25:46.161443
2004-12,2019-09-30 12:25:59.267909
2005-1,2019-09-30 12:26:05.398931
2005-2,2019-09-30 12:26:11.881794
2005-3,2019-09-30 12:26:18.162656
2005-4,2019-09-30 12:26:24.427520
2005-5,2019-09-30 12:26:31.209219
2005-6,2019-09-30 12:26:37.392191
2005-7,2019-09-30 12:26:43.526737
2005-8,2019-09-30 12:26:49.764559
2005-9,2019-09-30 12:26:55.898631
2005-10,2019-09-30 12:27:02.022558
2005-11,2019-09-30 12:27:08.315368
2005-12,2019-09-30 12:27:14.518946
2006-1,2019-09-30 12:27:20.715590
2006-2,2019-09-30 12:27:26.840250
2006-3,2019-09-30 12:27:32.957226
2006-4,2019-09-30 12:27:39.051808
2006-5,2019-09-30 12:27:45.167294
2006-6,2019-09-30 12:27:53.595711
2006-7,2019-09-30 12:28:02.514258
2006-8,2019-09-30 12:28:10.910082
2006-9,2019-09-30 12:28:19.220430
2006-10,2019-09-30 12:28:28.190337
2006-11,2019-09-30 12:28:36.734080
2006-12,2019-09-30 12:28:46.479998
2007-1,2019-09-30 12:28:55.293882
2007-2,2019-09-30 12:29:03.996186
2007-3,2019-09-30 12:29:12.802510
2007-4,2019-09-30 12:29:21.547775
2007-5,2019-09-30 12:29:30.581607
2007-6,2019-09-30 12:29:39.508396
2007-7,2019-09-30 12:29:48.445708
2007-8,2019-09-30 12:29:57.253266
2007-9,2019-09-30 12:30:05.985084
2007-10,2019-09-30 12:30:16.985940
2007-11,2019-09-30 12:30:25.767162
2007-12,2019-09-30 12:30:34.335386
2008-1,2019-09-30 12:30:43.018552
2008-2,2019-09-30 12:30:51.657379
2008-3,2019-09-30 12:31:01.159012
2008-4,2019-09-30 12:31:10.019962
2008-5,2019-09-30 12:31:18.880118
2008-6,2019-09-30 12:31:27.580823
2008-7,2019-09-30 12:31:36.367450
2008-8,2019-09-30 12:31:47.668531
2008-9,2019-09-30 12:31:56.509020
2008-10,2019-09-30 12:32:05.307403
2008-11,2019-09-30 12:32:13.992112
2008-12,2019-09-30 12:32:22.509732
2009-1,2019-09-30 12:32:31.593294
2009-2,2019-09-30 12:32:40.194076
2009-3,2019-09-30 12:32:48.687260
2009-4,2019-09-30 12:32:56.994015
2009-5,2019-09-30 12:33:05.412489
2009-6,2019-09-30 12:33:13.003841
2009-7,2019-09-30 12:33:20.685030
2009-8,2019-09-30 12:33:28.435190
2009-9,2019-09-30 12:33:36.012006
2009-10,2019-09-30 12:33:43.667535
2009-11,2019-09-30 12:33:51.256066
2009-12,2019-09-30 12:34:06.583953
2010-1,2019-09-30 12:34:14.337750
2010-2,2019-09-30 12:34:22.738675
2010-3,2019-09-30 12:34:30.672386
2010-4,2019-09-30 12:34:39.459619
2010-5,2019-09-30 12:34:47.445415
2010-6,2019-09-30 12:34:55.560807
2010-7,2019-09-30 12:35:03.961376
2010-8,2019-09-30 12:35:12.198091
2010-9,2019-09-30 12:35:34.598872
2010-10,2019-09-30 12:35:43.511546
2010-11,2019-09-30 12:35:51.485766
2010-12,2019-09-30 12:35:59.389964
2011-1,2019-09-30 12:36:08.287171
2011-2,2019-09-30 12:36:16.335171
2011-3,2019-09-30 12:36:24.586729
2011-4,2019-09-30 12:36:32.994329
2011-5,2019-09-30 12:36:40.967978
2011-6,2019-09-30 12:36:48.879252
2011-7,2019-09-30 12:36:56.886364
2011-8,2019-09-30 12:37:04.995692
2011-9,2019-09-30 12:37:13.022448
2011-10,2019-09-30 12:37:20.893128
2011-11,2019-09-30 12:37:34.243986
2011-12,2019-09-30 12:37:42.403442
2012-1,2019-09-30 12:37:49.179765
2012-2,2019-09-30 12:37:55.974959
2012-3,2019-09-30 12:38:02.716571
2012-4,2019-09-30 12:38:13.027281
2012-5,2019-09-30 12:38:23.477299
2012-6,2019-09-30 12:38:32.721386
2012-7,2019-09-30 12:38:41.222785
2012-8,2019-09-30 12:38:51.925825
2012-9,2019-09-30 12:38:59.913355
2012-10,2019-09-30 12:39:06.911584
2012-11,2019-09-30 12:39:14.667014
2012-12,2019-09-30 12:39:21.613562
2013-1,2019-09-30 12:39:28.886914
2013-2,2019-09-30 12:39:36.068855
2013-3,2019-09-30 12:39:54.293460
2013-4,2019-09-30 12:40:01.511517
2013-5,2019-09-30 12:40:08.555731
2013-6,2019-09-30 12:40:15.695691
2013-7,2019-09-30 12:40:22.864756
2013-8,2019-09-30 12:40:29.975425
2013-9,2019-09-30 12:40:37.045052
2013-10,2019-09-30 12:40:44.061988
2013-11,2019-09-30 12:40:51.429345
2013-12,2019-09-30 12:40:58.639200
2014-1,2019-09-30 12:41:05.866596
2014-2,2019-09-30 12:41:12.918735
2014-3,2019-09-30 12:41:20.138283
2014-4,2019-09-30 12:41:27.252726
2014-5,2019-09-30 12:41:34.407818
2014-6,2019-09-30 12:41:41.582985
2014-7,2019-09-30 12:41:48.683495
2014-8,2019-09-30 12:41:55.848736
2014-9,2019-09-30 12:42:03.038354
2014-10,2019-09-30 12:42:10.439486
2014-11,2019-09-30 12:42:17.786675
2014-12,2019-09-30 12:42:25.043492
2015-1,2019-09-30 12:42:48.343796
2015-2,2019-09-30 12:42:55.599386
2015-3,2019-09-30 12:43:02.703970
2015-4,2019-09-30 12:43:09.781869
2015-5,2019-09-30 12:43:17.953688
2015-6,2019-09-30 12:43:25.336346
2015-7,2019-09-30 12:43:32.673567
2015-8,2019-09-30 12:43:40.002983
2015-9,2019-09-30 12:43:47.183008
2015-10,2019-09-30 12:43:54.515286
2015-11,2019-09-30 12:44:02.379690
2015-12,2019-09-30 12:44:09.543037
2016-1,2019-09-30 12:44:16.895582
2016-2,2019-09-30 12:44:24.074855
2016-3,2019-09-30 12:44:31.361266
2016-4,2019-09-30 12:44:38.603543
2016-5,2019-09-30 12:44:45.796609
2016-6,2019-09-30 12:44:53.016043
2016-8,2019-09-30 12:45:00.432626
2016-9,2019-09-30 12:45:08.604756
2016-10,2019-09-30 12:45:15.752607
2016-11,2019-09-30 12:45:23.200141
2016-12,2019-09-30 12:45:30.479175
2017-1,2019-09-30 12:45:37.590612
2017-2,2019-09-30 12:45:44.932791
2017-3,2019-09-30 12:45:52.188266
2017-4,2019-09-30 12:45:59.459291
2017-5,2019-09-30 12:46:06.840834
2017-6,2019-09-30 12:46:14.433872
2017-7,2019-09-30 12:46:21.883833
2017-8,2019-09-30 12:46:29.298131
2017-9,2019-09-30 12:46:36.806568
2017-10,2019-09-30 12:46:44.276371
2017-11,2019-09-30 12:46:51.908329
2017-12,2019-09-30 12:46:59.327932
2018-1,2019-09-30 12:47:06.781721
2018-2,2019-09-30 12:47:14.152214
2018-3,2019-09-30 12:47:21.588660
2018-4,2019-09-30 12:47:28.979539
2018-5,2019-09-30 12:47:36.565641
2018-6,2019-09-30 12:47:44.207322
2018-7,2019-09-30 12:47:51.501158
2018-8,2019-09-30 12:47:59.044324
2018-9,2019-09-30 12:48:06.407263
2018-10,2019-09-30 12:48:13.898785
2018-11,2019-09-30 12:48:21.139468
2018-12,2019-09-30 12:48:33.800141
2019-1,2019-09-30 12:48:41.283685
2019-2,2019-09-30 12:48:48.724754
2019-3,2019-09-30 12:48:56.259716
2019-4,2019-09-30 12:49:03.661149
2019-5,2019-09-30 12:49:11.135652
2019-6,2019-09-30 12:49:18.455133
2019-7,2019-09-30 12:49:25.693619
2019-8,2019-09-30 12:49:33.016674
